City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,geraldton,-28.7667,114.6,72.01,78,0,17.27,AU,clear sky
1,nanortalik,60.1432,-45.2371,26.04,83,100,35.79,GL,overcast clouds
2,nyurba,63.2842,118.3319,-49.81,100,62,3.83,RU,broken clouds
3,mar del plata,-38.0023,-57.5575,73.42,91,40,9.22,AR,scattered clouds
4,port lincoln,-34.7333,135.8667,64.51,93,100,8.28,AU,overcast clouds
5,derzhavinsk,51.1,66.3167,9.79,83,100,15.43,KZ,overcast clouds
6,san felipe,10.3399,-68.7425,73.49,71,79,6.55,VE,broken clouds
7,rikitea,-23.1203,-134.9692,78.06,74,70,9.04,PF,light rain
8,castro,-24.7911,-50.0119,78.57,60,0,1.52,BR,clear sky
9,mataura,-46.1927,168.8643,49.62,95,0,1.74,NZ,clear sky
10,albany,42.6001,-73.9662,38.57,67,80,8.23,US,broken clouds
11,fortuna,40.5982,-124.1573,46.92,90,100,4.61,US,overcast clouds
12,silvino lobos,12.3,124.8333,73.42,99,100,5.91,PH,overcast clouds
13,hermanus,-34.4187,19.2345,64.8,77,100,16.15,ZA,light rain
14,atuona,-9.8,-139.0333,78.51,78,100,20.62,PF,overcast clouds
15,dongying,37.4564,118.4856,29.66,21,0,8.01,CN,clear sky
16,saint anthony,45.0205,-93.218,3.15,74,0,11.5,US,clear sky
17,kruisfontein,-34.0033,24.7314,63.88,78,80,18.59,ZA,light rain
18,esperance,-33.8667,121.9,61.45,62,0,11.1,AU,clear sky
19,busselton,-33.65,115.3333,60.91,67,5,17.09,AU,clear sky
20,mount gambier,-37.8333,140.7667,59.59,97,100,4.03,AU,light rain
21,ilulissat,69.2167,-51.1,15.82,67,75,11.5,GL,broken clouds
22,vardo,70.3705,31.1107,33.82,92,100,1.79,NO,light snow
23,tuktoyaktuk,69.4541,-133.0374,-23.8,76,0,6.91,CA,clear sky
24,avarua,-21.2078,-159.775,78.85,89,75,4.61,CK,broken clouds
25,kahului,20.8947,-156.47,71.83,99,100,12.66,US,moderate rain
26,moussoro,13.6408,16.4901,98.47,6,100,6.31,TD,overcast clouds
27,east london,-33.0153,27.9116,74.34,68,0,26.46,ZA,clear sky
28,la ronge,55.1001,-105.2842,-7.35,71,75,14.97,CA,broken clouds
29,pisco,-13.7,-76.2167,75.25,83,98,5.75,PE,mist
30,taltal,-25.4,-70.4833,69.98,76,18,3.89,CL,few clouds
31,port alfred,-33.5906,26.891,75.18,80,40,10.0,ZA,scattered clouds
32,bluff,-46.6,168.3333,56.62,83,73,5.17,NZ,broken clouds
33,ushuaia,-54.8,-68.3,58.66,44,0,27.63,AR,clear sky
34,vestmanna,62.1564,-7.1664,41.92,87,100,11.5,FO,overcast clouds
35,jamestown,42.097,-79.2353,33.39,79,100,15.01,US,overcast clouds
36,assiniboia,49.6334,-105.9845,-7.78,77,89,12.66,CA,overcast clouds
